# Attach there is a file with the values of the sky in mag/arcsec^2, 
# the FWHM (arcsec) of the moffat PSF and the beta value for the three bands. The
# order of the band is always g,r,i. The SDSS plate scale is 0.396127 ASEC/PIX
#
#galaxy	       skyg            skyr            skyi           fwhmg        fwhmr        fwhmi        betag        betar        betai
UGC09067       22.092343       21.300874       21.038879      1.16820     0.942480     0.894960      2.61000      2.49000      3.78000
NGC5520       22.037186       20.811942       20.161064      1.20622      1.13810      1.25374      4.11000      3.79800      3.47200
NGC5513       22.047984       21.022610       20.362128      1.00980     0.942480     0.871992      8.15200      4.24200      8.10000
UGC09110       22.147428       21.339443       21.037618      1.15632      1.06920      1.02564      3.86000      5.49000      4.51000
NGC5519       21.893251       20.978981       20.340496      1.33056      1.24344      1.16424      4.06000      4.69000      4.48000
NGC5522       22.139215       21.290360       21.016641      1.10484      1.10484      1.08108      3.59000      4.22000      4.85000
NGC5533       22.127882       21.049031       20.244275      1.11672     0.974160      1.00188      7.00000      4.70000      5.60000
NGC5546       21.903778       20.947142       20.317588      1.28304      1.11276      1.26720      4.20000      2.75000      4.15000
IC0994       21.788493       20.972220       20.444505      1.07316     0.922680     0.815760      7.60000      3.12000      6.64000
NGC5557       22.099493       20.858524       20.092251      1.49292      1.39788      1.30680      3.90000      4.84000      4.63000
NGC5559       22.231435       21.288987       20.652850      1.24344      1.44936      1.22364      4.80000      6.24000      4.26000
NGC5580       22.122251       21.078032       20.146067     0.970200     0.950400     0.823680      2.97000      3.57000      6.95000
NGC5580       22.122251       21.078032       20.146067     0.970200     0.950400     0.823680      2.97000      3.57000      6.95000
NGC5587       21.980519       21.157948       20.489916      1.40580      1.37016      1.48104      5.40000      4.90000      6.50000
NGC5602       22.003085       20.730099       20.058327      1.22364      1.18800      1.15632      3.54000      4.81000      4.22000
NGC5598       22.253249       21.251013       20.657394      1.02564     0.958320     0.883080      9.08000      3.07000      8.18000
NGC5610       22.235929       21.282346       20.642346      1.38996      1.25136      1.39392      7.86000      8.94000      12.7000
NGC5622       22.124050       21.063423       20.280104     0.978120     0.894960     0.807840      4.64000      7.85000      8.53000
NGC5631       22.053459       21.115837       20.351150      1.12068     0.918720     0.855360      3.70000      3.00000      4.67000
NGC5623       22.107013       21.042914       20.397528      1.19988      1.08504     0.997920      3.75000      2.94000      4.24000
NGC5633       22.078932       21.097688       20.259443     0.831600      1.16820      1.06920      3.93000      3.97000      3.95000
NGC5630       22.236929       21.282770       20.681991      2.20968     0.918720      1.10880      2.63000      4.20000      4.08000
NGC5635       22.315949       21.266866       20.469630      1.50876      1.33848      1.12464      4.41000      4.21000      4.53000
UGC09291       21.971907       21.058297       20.322000      1.22760      1.22760      1.06920      5.20000      3.50000      7.30000
NGC5656       22.147718       21.134820       20.185569     0.974160     0.898920      1.03752      4.91000      5.28000      4.04000
NGC5657       22.240840       21.265920       20.408765      1.49292      1.55232      1.53648      6.51000      5.85000      4.10000
NGC5659       22.148801       21.181494       20.184223      1.24344      1.15632     0.974160      6.06000      5.01000      6.26000
NGC5665       21.909949       20.888546       20.161707     0.990000      1.34640      1.18800      5.50000      3.20000      5.30000
NGC5682       21.980856       20.756348       20.076964      1.39392      1.24344      1.13652      4.50000      4.01000      3.78000
NGC5687       22.157891       20.907163       19.957888      1.39392      1.20780      1.27116      3.25000      4.44000      3.40000
NGC5687       22.157891       20.907163       19.957888      1.39392      1.20780      1.27116      3.25000      4.44000      3.40000
NGC5684       22.401512       21.435836       20.535909     0.883080     0.823680     0.764280      3.36000      5.62000      4.37000
UGC09401       22.324123       21.394187       20.732740      1.21572      1.18404      1.08108      5.20000      4.14000      8.05000
NGC5720       21.946347       20.981878       20.401667      1.18404      1.15632      1.12464      3.12000      6.65000      4.88000
NGC5732       22.233164       21.239301       20.531827      1.23552      1.35828      1.04544      3.48000      5.10000      2.23000
UGC09476       22.009609       21.053546       21.423946      1.10880     0.982080      1.10880      3.50000      5.80000      3.50000
NGC5735       22.071262       21.121816       20.480118      1.29492      1.04544     0.950400      4.97000      2.67000      2.41000
UGC09492       21.576815       20.662884       20.379373      1.15236     0.970200     0.898920      5.03000      5.59000      5.69000
UGC09518       22.300889       21.216086       20.477388      1.12068      1.23156      1.22364      7.79000      7.45000      6.48000
UGC09542       22.034821       21.041060       20.221295      1.24740      1.06920     0.990000      3.70000      4.30000      6.10000
NGC5772       22.311407       21.041094       20.170759     0.867240     0.784080     0.609840      4.68000      14.3700      2.64000
NGC5784       22.427028       21.414710       20.677910      1.20384     0.914760     0.879120      2.45000      4.36000      4.24000
UGC09598       22.056939       21.034847       20.179843      1.18800      1.01376     0.974160      3.53000      4.77000      3.15000
UGC09629       22.161389       20.947301       19.976157      1.50084      1.36224      1.25136      5.53000      3.09000      3.59000
NGC5829       22.046926       21.038737       20.186241      1.26720      1.38600      1.38600      6.30000      2.90000      3.10000
IC4534       22.151454       21.166797       20.172720      1.16028      1.07316     0.986040      2.58000      3.04000      4.21000
NGC5876       22.194606       21.268300       20.649332      1.38600      1.26720      1.26720      4.30000      4.60000      4.60000
NGC5888       22.008803       20.985231       20.075355      1.25136      1.22364      1.06128      4.00000      4.00000      4.00000
UGC09777       22.315487       21.300136       20.389076      1.22364     0.986040      1.03356      8.67000      7.07000      6.16000
UGC09842       22.169102       21.230041       20.604642     0.978120      1.24740     0.863280      6.25000      5.90000      6.91000
NGC5928       22.278038       21.446051       20.726678      1.17216     0.982080      1.02960      3.00000      4.10000      6.79000
